class,filename,author_dot,author_lc,author_len,author_mismatch,author_num,author_oth,author_uc,box_nonother_types,box_other_only,company_mismatch,count_acroform,count_acroform_obs,count_action,count_action_obs,count_box_a4,count_box_legal,count_box_letter,count_box_other,count_box_overlap,count_endobj,count_endstream,count_eof,count_font,count_font_obs,count_image_large,count_image_med,count_image_small,count_image_total,count_image_xlarge,count_image_xsmall,count_javascript,count_javascript_obs,count_js,count_js_obs,count_obj,count_objstm,count_objstm_obs,count_page,count_page_obs,count_startxref,count_stream,count_stream_diff,count_trailer,count_xref,createdate_dot,createdate_mismatch,createdate_ts,createdate_tz,createdate_version_ratio,creator_dot,creator_lc,creator_len,creator_mismatch,creator_num,creator_oth,creator_uc,delta_ts,delta_tz,image_mismatch,image_totalpx,keywords_dot,keywords_lc,keywords_len,keywords_mismatch,keywords_num,keywords_oth,keywords_uc,len_obj_avg,len_obj_max,len_obj_min,len_stream_avg,len_stream_max,len_stream_min,moddate_dot,moddate_mismatch,moddate_ts,moddate_tz,moddate_version_ratio,pdfid0_dot,pdfid0_lc,pdfid0_len,pdfid0_mismatch,pdfid0_num,pdfid0_oth,pdfid0_uc,pdfid1_dot,pdfid1_lc,pdfid1_len,pdfid1_mismatch,pdfid1_num,pdfid1_oth,pdfid1_uc,pdfid_mismatch,pos_acroform_avg,pos_acroform_max,pos_acroform_min,pos_box_avg,pos_box_max,pos_box_min,pos_eof_avg,pos_eof_max,pos_eof_min,pos_image_avg,pos_image_max,pos_image_min,pos_page_avg,pos_page_max,pos_page_min,producer_dot,producer_lc,producer_len,producer_mismatch,producer_num,producer_oth,producer_uc,ratio_imagepx_size,ratio_size_obj,ratio_size_page,ratio_size_stream,size,subject_dot,subject_lc,subject_len,subject_mismatch,subject_num,subject_oth,subject_uc,title_dot,title_lc,title_len,title_mismatch,title_num,title_oth,title_uc,version
0,fff5940de6447e89bd136828ccce2c5561e38c0d0ed2df67dcfa6da0c6c2135d,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,4,0,0,23,18,2,2,0,0,0,4,5,0,1,0,0,0,0,23,5,0,2,0,2,18,0,0,0,0,1,1233235298,-18000,2039.079527,3,14,26,1,4,5,3,1233235299,-17999,2,72306,0,0,0,0,0,0,0,724.0869565,3655,38,781.3333333,3599,16,0,0,-1,-1,-1,0,0,32,1,19,0,13,0,0,32,1,20,0,12,1,-1,-1,-1,0.243886668,0.438337644,0.049435692,0.512902657,0.99970609,0.026099224,0.635904068,0.718669175,0.559840113,0.25664237,0.45209264,0.0611921,2,20,33,1,3,7,3,4.25029391,739.6521418,8505.995747,945.1110586,17012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1,fff56e36b16c9eb00791dc7364031d2ba1c7028e0d7f1f7ab2cd08cf6bb2c1dc,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,9,3,1,0,0,0,0,0,0,0,0,1,0,1,0,9,0,0,1,0,1,3,0,1,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1718.888889,8766,48,4955,8713,291,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0.162339299,0.427022939,0.012856063,0.9996849,0.9996849,0.9996849,-1,-1,-1,0.011784724,0.011784724,0.011784724,0,0,0,0,0,0,0,0,1763.110915,15867.98413,5289.33157,15868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,fff547f300af70be58f548a54d55f4d0be41ae3fb714fdcd7b965c9e75aa4df0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,14,2,1,0,0,0,0,0,0,0,0,3,0,2,0,14,0,0,1,0,1,2,0,1,1,0,0,-1,-1,-1,3,6,16,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,220.5,2075,9,1028.5,2017,40,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055978261,0.055978261,0.055978261,0.186005435,0.191032609,0.180978261,0.998641304,0.998641304,0.998641304,-1,-1,-1,0.209782609,0.209782609,0.209782609,3,12,28,1,5,6,5,0,262.8571241,3679.99632,1839.99908,3680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,fff53db94c6607d866d0feec61901b1cdfff2638421f27acfc10fd5d38f517d3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,14,11,2,1,0,0,0,0,0,0,0,0,0,0,0,14,4,0,1,0,2,11,0,0,0,0,1,1375824849,-18000,3184.779743,1,16,30,1,3,5,6,1375824850,-17999,0,0,0,0,0,0,0,0,0,801.6428571,3917,67,889.5454545,3861,58,0,0,-1,-1,-1,0,0,32,1,18,0,14,0,0,32,1,20,0,12,1,-1,-1,-1,0.071876634,0.073183481,0.070569786,0.519079979,0.999564384,0.038595574,-1,-1,-1,0.085990591,0.085990591,0.085990591,1,10,22,1,3,4,5,0,819.8570843,11477.98852,1043.454451,11478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,fff3ac73f81a3c01b19e5a9c92fc50574b9b299491005f2ba7a0415a598ef117,0,6,7,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,19,9,1,2,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,1,9,0,1,1,0,0,-1,-1,-1,0,6,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,753.6315789,9315,34,1418.333333,9244,26,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343322088,0.343322088,0.343322088,0.254944764,0.314281934,0.195607594,0.999735397,0.999735397,0.999735397,-1,-1,-1,0.197525964,0.197525964,0.197525964,0,0,0,0,0,0,0,0,795.6315371,15116.98488,1679.66648,15117,0,6,7,1,0,1,0,0,6,7,1,0,1,0,6
0,fff2da6f38c8ea47d02927b48197a14ce5d0129e687720d2ed5b45dd9720c7d1,0,5,7,1,0,0,2,18,0,0,0,0,0,0,0,0,18,37,0,3676,1792,2,26,0,0,889,6,895,0,0,0,0,0,0,3676,0,0,27,0,2,1792,0,2,2,0,0,-1,-1,-1,1,17,27,1,3,4,3,0,0,26,229230754,0,0,0,1,0,0,0,470.8136561,23637,7,805.8694196,23599,11,0,0,-1,-1,-1,0,12,32,1,20,0,0,0,12,32,1,20,0,0,0,-1,-1,-1,0.424422042,0.929335316,0.001574675,0.500583023,0.999997844,0.001168203,0.453649831,0.960600781,0.008733759,0.432164587,0.929263078,0.00146524,1,20,37,1,3,6,8,123.5754631,504.6207833,68703.18264,1035.148437,1854986,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
0,fff200dd26bf2681194059e16364b68aa00cbb26e1859803f1cb44de2f48ccfa,1,0,18,1,0,3,15,0,1,0,0,0,0,0,0,0,0,48,0,119,45,1,31,0,0,0,0,0,0,0,0,0,0,0,119,0,0,17,0,1,45,0,1,1,0,0,-1,-1,-1,1,19,35,1,5,6,5,0,0,0,0,0,0,1,1,0,1,0,956.7310924,7732,43,2193.266667,7668,118,0,0,-1,-1,-1,0,0,32,1,19,0,13,0,0,32,1,22,0,10,1,-1,-1,-1,0.555392995,0.970414553,0.030696917,0.999966062,0.999966062,0.999966062,-1,-1,-1,0.553701388,0.909954014,0.030442382,2,6,25,1,3,7,9,0,990.4369665,6933.058416,2619.155497,117862,0,26,31,1,0,2,3,0,81,97,1,0,14,2,3
1,fff12376e298c99e68cc1107205e38294c23e7d02e0412a8037fe995f2f4cb2e,0,7,8,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,13,3,1,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,3,0,1,1,0,0,-1,-1,-1,0,6,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,374.5384615,3811,38,1270,3734,34,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972736125,0.972736125,0.972736125,0.46436222,0.893476144,0.035248296,0.99902629,0.99902629,0.99902629,-1,-1,-1,0.025900682,0.025900682,0.025900682,0,0,0,0,0,0,0,0,394.9999696,5134.994865,1711.666096,5135,0,2,2,1,0,0,0,0,2,2,1,0,0,0,6
1,fff0587b2c63cbe23387f03c45a485a88052fd78410edbb2c17482be9a1fdbeb,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,8,0,0,1,0,1,2,0,1,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.875,9000,29,4572,8949,195,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0.028513854,0.032443325,0.024584383,0.999496222,0.999496222,0.999496222,-1,-1,-1,0.020050378,0.020050378,0.020050378,0,0,0,0,0,0,0,0,1240.624845,9924.990075,4962.497519,9925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ffefe425d9ae5609a5dbd80dec0ed2e7f9d632313b1a9524d172238b2d76e1a8,0,11,14,1,0,1,2,151,0,0,0,0,1,0,0,0,151,35,0,880,564,2,126,0,1,164,238,432,0,29,0,0,0,0,880,0,0,55,0,2,564,0,2,2,0,0,-1,-1,-1,2,10,20,1,3,4,3,-1108567388,25199,426,30851998,0,0,0,0,0,0,0,7973.171591,276910,8,12212.69149,276775,14,0,2,1108567387,-25200,2566.128211,0,13,32,1,19,0,0,0,9,32,2,23,0,0,1,-1,-1,-1,0.508436744,0.999435285,0.0000119,0.999668904,0.999999291,0.999338517,0.492475893,0.954001668,0.00035841,0.541450758,0.999423934,0.00000653,2,25,37,1,3,6,3,4.37753659,8008.862491,128141.7977,12496.0975,7047799,0,0,0,0,0,0,0,1,12,16,1,1,2,1,5
